id,title,users_score,age_rating,first_release_date,game_engine_id
1618,Combat Arms,64,16,2008-07-11,
1619,Pokémon Battrio,67,12,2007-11-21,
1620,Just Cause 2,72,18,2010-03-23,
1621,Worms: The Director's Cut,66,7,1997-01-01,
1622,Addiction Pinball,84,12,1998-01-01,
1623,Leisure Suit Larry: Magna Cum Laude,62,18,2004-10-05,
1624,Hi-Octane,85,7,1996-12-12,
1625,Star Trek: Elite Force II,86,16,2003-06-20,
1626,Command & Conquer: Tiberium Alliances,97,12,2012-03-15,
1627,Syndicate Wars,56,12,1996-10-31,
1628,The Movies: Stunts & Effects,87,0,2006-06-06,10
1629,Homeworld,70,12,1999-09-28,
1630,Mario Kart 7,82,3,2011-12-01,
1631,Medal of Honor: Vanguard,74,16,2007-03-26,
1632,Artificial Girl 2,97,12,2004-11-26,
1633,Dragon Ball Z: Shin Budokai 2,79,12,2007-01-01,
1634,Deadliest Warrior: The Game,81,18,2010-07-14,
1635,Mind Quiz,77,7,2006-09-14,
1636,F1 Grand Prix,88,3,2005-09-01,
1637,Ehrgeiz,66,16,1998-12-17,
1638,Dragon Ball: Revenge of King Piccolo,56,7,2009-07-23,
1639,Tomb Raider III,60,12,1998-11-21,
1640,The Nations,80,7,2001-01-01,
1641,Conflict: Desert Storm II,72,16,2003-09-19,
1642,Descent: FreeSpace – The Great War,62,12,1998-03-19,
1643,Conker's Pocket Tales,62,0,1999-06-08,
1644,Conquest of the New World,67,0,1996-03-31,
1645,Lips,60,12,2008-11-18,
1646,Lego Racers,70,0,1999-10-31,
1647,Race On,78,3,2009-10-16,
1648,God of War III,88,18,2010-03-16,
1649,Karous,96,16,2007-03-08,
1650,Killzone,72,16,2005-10-27,
1651,P.N.03,57,12,2003-03-27,
1652,South Park: Chef's Luv Shack,68,18,1999-10-12,
1653,Kane & Lynch: Dead Men,72,18,2007-11-13,
1654,Sam & Max Save the World,64,12,2009-02-12,
1655,Soul Link,70,16,2009-12-28,
1656,Kirby Super Star Ultra,60,3,2009-09-18,
1657,Onimusha 2: Samurai's Destiny,73,16,2002-03-07,
1658,LovePlus,71,16,2009-09-03,
1659,Street Fighter II,64,7,2007-01-19,
1660,EverQuest,61,12,1999-03-16,
1661,Neo Angelique,65,12,2008-01-01,
1662,Wii Sports Resort,78,7,2009-06-25,
1663,So Blonde,63,12,2010-03-26,
1664,SingStar,49,3,2007-12-06,
1665,Defense Grid: The Awakening,67,12,2008-12-08,
1666,TNA Impact!,67,18,2008-09-09,
1667,Bleach: The 3rd Phantom,97,12,2008-06-26,
1668,Max & the Magic Marker,92,7,2010-01-22,
1669,Real Bout Fatal Fury,63,18,1996-01-26,
1670,Fatal Fury: Wild Ambition,78,12,1999-01-28,
1671,Exit,82,7,2005-12-15,
1672,The Curse of Monkey Island,86,12,1997-10-31,6
1673,Real Bout Fatal Fury Special,69,7,1997-01-28,
1674,Wii Play: Motion,82,7,2011-06-13,
1675,Icewind Dale,88,12,2000-06-29,
1676,Supreme Commander 2,66,12,2010-03-02,
1677,Crackdown,71,18,2007-02-20,10
1678,Street Fighter EX,73,18,1996-11-30,
1679,2006 FIFA World Cup,56,3,2006-04-24,
1680,Resident Evil: Revelations,75,16,2012-01-26,22
1681,Iron Man 2,59,12,2010-04-29,
1682,Crashday,88,12,2006-02-23,
1683,Need for Speed III: Hot Pursuit,80,3,1998-03-25,
1684,Need for Speed II,86,3,1997-03-31,
1685,The Simpsons Game,75,12,2007-10-30,10
1686,Pokémon Rumble Blast,87,7,2011-08-11,
1687,Metroid Prime Hunters,71,12,2006-03-20,
1688,Crazy Machines,47,3,2005-10-01,
1689,Crazy Taxi,79,3,1999-02-01,
1690,Lunar Pool,77,0,2007-12-11,
1691,Mario & Sonic at the London 2012 Olympic Games,59,3,2011-11-15,
1692,Scarface: The World Is Yours,88,18,2007-06-12,
1693,The Godfather,74,18,2007-03-20,10
1694,Dofus,72,12,2005-09-01,
1695,Resident Evil: Operation Raccoon City,53,18,2012-03-20,
1696,Little Big Adventure,61,12,1996-07-19,
1697,Bugs Bunny & Taz: Time Busters,69,7,2000-11-24,
1698,Mario & Sonic at the Olympic Games,67,3,2007-11-06,
1699,Pokémon Conquest,83,3,2012-03-17,
1700,Star Fox 64,44,7,1997-04-27,
1701,Guitar Freaks,85,12,1998-01-01,
1702,SuperPower 2,57,3,2004-10-11,
1703,Crystal Warriors,63,7,2013-02-06,
1704,Kid Icarus,65,7,1986-12-19,
1705,Tekken Tag Tournament,67,16,2000-03-30,
1706,Vietcong 2,77,18,2005-10-24,
1707,Mabinogi,76,12,2004-06-22,
1708,Gex: Enter the Gecko,67,7,1998-01-31,
1709,Star Trek Online,53,12,2012-01-31,
1710,Yoake Mae yori Ruriiro na,80,12,2010-02-25,
1711,Gradius V,61,7,2004-07-22,
1712,Icewind Dale II,64,12,2002-08-27,
1713,TrackMania Nations,70,7,2006-01-01,
1714,Neo Bomberman,79,12,1997-01-01,
1715,Dead Rising,74,18,2009-02-19,22
1716,Resident Evil: The Mercenaries 3D,71,18,2011-06-02,22
1717,Flight Control,87,3,2010-11-18,
1718,Strikers 1945,66,7,2022-06-29,
1719,Mobile Golf,82,3,2001-05-11,
1720,The Last Express,82,12,1997-03-30,
1721,Combat Mission: Beyond Overlord,50,12,2000-06-01,
1722,Moero! Nekketsu Rhythm Damashii Osu! Tatakae! Ouendan 2,72,0,2007-05-17,
1723,Naruto: Ultimate Ninja 2,66,12,2004-09-30,
1724,Metal Slug Anthology,68,16,2007-03-26,
1725,Sonic Riders: Zero Gravity,72,3,2009-01-08,
1726,Neon Genesis Evangelion 2,82,7,2003-11-20,
1727,Wii Fit Plus,78,3,2009-10-01,
1728,Ultimate Ghosts 'n Goblins,72,7,2006-08-13,
1729,Dark Colony,65,16,1997-08-31,
1730,SWAT 4,64,18,2005-04-05,55
1731,Rayman Raving Rabbids: TV Party,53,0,2009-01-22,
1732,Snow Bros.: Nick and Tom,68,3,2020-01-22,
1733,Tyrian,64,7,2013-04-17,
1734,Gran Turismo,56,3,2009-10-01,
1735,Resident Evil: The Darkside Chronicles,73,18,2010-01-14,22
1736,Devil Kings,86,12,2005-07-21,
1737,Bionicle Heroes,72,3,2007-04-24,
1738,Dragon Nest,64,12,2012-12-18,
1739,Tekken Card Challenge,97,18,1999-06-17,
1740,Dune 2000,76,12,1999-10-31,
1741,Demon's Souls,85,16,2009-02-05,
1742,Tomb Raider: The Prophecy,76,7,2002-11-12,
1743,Kirby's Dream Land,77,3,1992-04-27,
1744,Kirby's Adventure,75,3,1993-03-23,
1745,DJ Hero,55,12,2009-10-27,
1746,Pokémon Platinum,88,3,2008-09-13,
1747,Hydrophobia,60,18,2010-09-29,40
1748,XIII,77,16,2004-04-08,
1749,Really? Really!,72,7,2014-06-06,
1750,WarioWare: Touched!,48,3,2004-12-02,
1751,Tick! Tack!,80,18,2014-03-17,
1752,Vietcong,87,16,2003-03-26,
1753,TOCA Race Driver,68,12,2002-08-23,
1754,Race Driver: Create & Race,63,3,2007-09-25,
1755,Tropico 4,70,16,2011-08-26,
1756,Uncharted: Golden Abyss,76,16,2011-12-17,
1757,Mario Power Tennis,71,3,2004-10-28,
1758,Madden NFL 06,84,3,2005-08-08,
1759,Command & Conquer: Sole Survivor,60,12,1997-12-08,
1760,Final Fantasy Tactics: The War of the Lions,83,12,2007-05-10,
1761,NBA 2K8,76,0,2007-01-01,
1762,Madden NFL 2004,72,0,2003-08-12,
1763,High School Musical: Makin' the Cut!,72,3,2007-08-14,
1764,Ancient Wars: Sparta,59,16,2007-04-20,
1765,Ministry of War,65,7,2010-11-27,
1766,Rugby 08,71,3,2007-07-25,
1767,Escape from Monkey Island,79,12,2000-11-08,
1768,Doodle Jump,69,3,2009-04-06,
1769,Post Mortem,63,16,2003-02-28,
1770,Star Trek: Klingon Academy,56,12,2000-06-21,
1771,LocoRoco,65,3,2006-06-23,
1772,Dark Arms: Beast Buster,85,12,1999-10-21,
1773,Dark Chronicle,85,12,2002-11-28,
1774,Dark Cloud,97,12,2000-12-14,
1775,Dark Reign: The Future of War,70,16,1997-08-31,
1776,Dark Souls,87,16,2011-09-22,
1777,Darksiders,75,18,2010-01-05,
1778,Darksiders II,75,16,2012-08-14,
1779,DarkStar One,60,12,2006-06-16,
1780,Tokimeki Memorial 3: Yakusoku no Ano Basho de,63,0,2001-12-20,
1781,F1 2001,75,0,2001-09-20,
1782,Dead or Alive 5,70,16,2012-01-01,
1783,Buzz!: The Music Quiz,56,3,2005-10-21,
1784,Destruction Derby 2,70,7,1996-10-31,
1785,The Fairyland Story,50,0,2020-10-03,
1786,A Bug's Life,73,3,1999-01-01,
1787,Might and Magic VI: The Mandate of Heaven,76,12,1998-04-30,
1788,Dead Island,70,18,2011-09-06,
1789,Deadly Premonition,56,18,2019-09-04,
1790,Defender,75,7,2006-11-15,
1791,Dementium II,75,18,2013-12-17,
1792,Dementium: The Ward,83,18,2024-04-19,
1793,Demigod,64,12,2009-04-14,
1794,Battlestar Galactica Online,74,12,2011-02-08,
1795,WWE All Stars,75,16,2011-03-29,
1796,AaaaaAAaaaAAAaaAAAAaAAAAA!!! – A Reckless Disregard for Gravity,58,7,2009-09-03,
1797,Beautiful Katamari,51,0,2007-10-16,
1798,Pokémon Ranger: Guardian Signs,86,3,2010-03-06,
1799,Insaniquarium,74,3,2006-08-30,
1800,Overlord,76,16,2007-06-26,
1801,Gravity Rush,79,12,2012-02-09,5
1802,Age of Empires: The Age of Kings,78,12,2006-02-14,
1803,I Wanna Be the Guy,72,16,2007-10-05,
1804,Angry Birds Space,55,0,2012-03-22,
1805,The Elder Scrolls Online,73,16,2014-04-04,30
1806,Witch on the Holy Night,63,7,2012-04-12,
1807,Lego Creator: Harry Potter,70,0,2001-01-01,
1808,Harry Potter and the Deathly Hallows – Part 2,67,7,2011-07-12,
1809,Amazing Alex,57,0,2012-07-12,
1810,X: Beyond the Frontier,66,12,2000-01-31,
1811,One Piece: Pirate Warriors,57,12,2012-03-01,
1812,WWE '12,69,16,2012-01-26,
1813,Pokémon Dash,62,3,2004-12-02,
1814,SimCity DS,76,3,2007-02-22,
1815,Tales of Legendia,72,12,2005-08-25,
1816,R4: Ridge Racer Type 4,67,7,1999-04-16,
1817,Yoshi's Island DS,81,0,2006-11-13,
1818,Tsukihime,60,7,2000-12-29,
1819,Seafight,73,7,2006-03-18,
1820,Sonic the Hedgehog 4: Episode I,57,3,2010-10-07,
1821,The Lord of the Rings: Conquest,97,16,2009-01-09,
1822,Industry Giant,48,0,1998-04-14,
1823,Super Metroid,87,7,1994-03-19,
1824,Star Wars: Galactic Battlegrounds,74,12,2001-11-13,
1825,Super Smash Bros. for Nintendo 3DS and Wii U,77,12,2014-01-01,
1826,Animal Crossing: City Folk,76,3,2008-11-16,
1827,"WarioWare, Inc.: Mega Microgames!",79,3,2003-03-21,
1828,Professor Layton and the Curious Village,73,7,2007-02-15,
1829,One: Kagayaku Kisetsu e,85,0,1998-05-29,
1830,Tomorrow Never Dies,68,16,1999-11-16,
1831,Osu! Tatakae! Ouendan,74,0,2005-07-28,
1832,The Godfather II,72,18,2009-04-07,
1833,Mega Man X,79,7,2012-03-08,
1834,Elite Beat Agents,81,12,2006-11-06,
1835,Ring,61,12,1999-07-05,
1836,"WarioWare, Inc.: Mega Party Games!",74,3,2004-04-05,
1837,Dungeons & Dragons Online,58,12,2012-06-25,
1838,Pikmin 2,79,3,2004-04-29,
1839,Monster Hunter,82,12,2004-03-11,
1840,Terranigma,83,12,1996-12-19,
1841,Arcana Famiglia,88,12,2015-12-23,
1842,Pikmin,85,3,2001-10-26,
1843,F-Zero,60,3,1990-11-21,
1844,Dr. Mario,83,0,1990-07-27,
1845,Metal Slug 5,72,12,2003-01-01,
1846,Metal Slug 4,87,16,2002-06-12,
1847,Metal Slug 6,78,16,2006-02-24,
1848,Half-Life: Source,74,16,2013-09-12,
1849,Descent,81,12,1996-02-01,
1850,Wii Party,59,3,2010-07-08,
1851,Destroy All Humans!,75,12,2005-06-21,
1852,Balloon Fight,54,3,1984-01-01,
1853,Klonoa: Door to Phantomile,67,3,1997-12-11,
1854,Tales of Graces,74,12,2009-12-10,
1855,Mario & Sonic at the Olympic Winter Games,84,3,2009-10-13,
1856,Kirby's Dream Land 3,68,3,1997-11-27,
1857,Half-Life 2: Survivor,70,18,2006-06-28,
1858,Mario Party 7,88,3,2005-11-07,
1859,Mario Party 4,58,3,2002-10-21,
1860,Mario Party 2,86,7,1999-12-17,
1861,Mario Party 5,78,3,2003-11-10,
1862,Mario Party Advance,81,3,2005-01-13,
1863,Katamari Damacy,65,7,2004-03-18,
1864,The King of Fighters XIII,73,12,2010-07-14,
1865,Red Steel 2,64,16,2010-03-23,
1866,Hyperdimension Neptunia,82,12,2010-08-19,5
1867,Inazuma Eleven 3,92,12,2010-07-01,
1868,RapeLay,54,0,2006-04-21,
1869,Mario Party 6,65,3,2004-11-18,
1870,Europa 1400: The Guild,62,0,2002-10-25,
1871,Die Hard Arcade,63,18,1996-07-01,
1872,Nemesis of the Roman Empire,58,18,2003-01-01,
1873,The World Is Not Enough,84,16,2000-11-01,
1874,Giga Wing 2,73,7,2001-01-18,
1875,Digimon World 3,93,3,2002-06-05,
1876,Dino Crisis,81,16,1999-07-01,
1877,Discworld II: Missing Presumed...!?,68,7,1996-11-30,
1878,Super 3D Noah's Ark,80,18,2015-06-23,
1879,Dive Alert,64,16,1999-08-19,
1880,Divine Divinity,70,12,2002-09-22,
1881,Pro Kishi Jinsei Simulation: Shōgi no Hanamichi,68,7,1996-02-16,
1882,Donkey Kong Country 3: Dixie Kong's Double Trouble!,88,3,1996-11-18,
1883,The Da Vinci Code,62,16,2006-05-19,
1884,Resident Evil,84,18,1997-09-25,
1885,IL-2 Sturmovik: Cliffs of Dover,64,16,2011-03-25,
1886,Drakensang: The River of Time,78,16,2011-02-16,
1887,Drakensang Online,91,12,2023-05-16,
1888,Drakengard,79,16,2003-09-11,
1889,IL-2 Sturmovik: Forgotten Battles,63,12,2003-03-02,
1890,Crash Twinsanity,64,3,2004-08-30,
1891,Eternal Darkness: Sanity's Requiem,60,16,2002-06-24,
1892,Men of Valor,68,16,2004-10-19,
1893,Dungeon Keeper,59,12,1997-06-26,
1894,Dungeon Siege III,95,16,2011-06-21,
1895,Dungeons,49,12,2011-01-27,
1896,Sly 3: Honor Among Thieves,84,7,2014-05-27,
1897,People's General,71,12,1998-08-31,
1898,Sid Meier's Pirates!,79,0,2010-09-28,
1899,Shadow Man,61,16,1999-03-09,
1900,Kana: Little Sister,71,16,1999-06-25,
1901,Rise of the Guardians,50,3,2012-11-20,
1902,Top Spin 4,64,3,2011-03-15,
1903,Psychonauts,81,12,2012-05-31,
1904,Lost Horizon,71,16,2010-09-17,
1905,Panzer General II,87,3,1997-09-30,
1906,Fire Blade,80,12,2002-06-16,
1907,Edna & Harvey: The Breakout,72,12,2013-10-25,
1908,Xenoblade Chronicles,80,12,2010-06-10,
1909,18 Wheeler: American Pro Trucker,76,3,2000-10-12,
1910,Trespasser,81,12,1998-10-28,
1911,Mortal Kombat Trilogy,72,18,1996-09-01,
1912,Mortal Kombat Mythologies: Sub-Zero,69,18,1997-10-01,
1913,Mortal Kombat: Special Forces,79,16,2000-06-30,
1914,Faces of War,84,16,2006-09-08,
1915,Super Street Fighter IV,66,12,2010-04-27,
1916,Tom Clancy's SSN,57,12,1996-01-01,
1917,Grepolis,69,16,2010-02-01,
1918,Ultima IX: Ascension,70,12,2012-08-23,
1919,Einhänder,70,3,1997-11-20,
1920,Michael Jackson: The Experience,88,3,2015-12-31,
1921,Doraemon 3: Nobita no Machi SOS!,80,0,2000-07-28,
1922,Need for Speed: High Stakes,72,3,1999-01-01,
1923,Doraemon 2: Nobita to Hikari no Shinden,78,0,1998-12-11,
1924,Doraemon: Nobita to Mittsu no Seireiseki,57,0,1997-03-21,
1925,Inuyasha: Feudal Combat,82,12,2005-06-16,10
1926,Tourist Trophy,90,3,2006-02-02,
1927,Mortal Kombat: Shaolin Monks,89,18,2005-09-16,
1928,Ultimate Mortal Kombat 3,89,18,1996-11-01,
1929,Harvest Moon: Friends of Mineral Town,86,0,2003-04-18,
1930,FIFA Football 2004,68,3,2003-10-24,
1931,WWE SmackDown vs. Raw 2010,52,16,2010-01-28,
1932,Kessen,87,12,2000-03-04,
1933,Pro Evolution Soccer 2012,80,3,2011-10-14,
1934,Impossible Creatures,68,12,2003-01-07,
1935,Klonoa 2: Lunatea's Veil,83,3,2001-03-22,
1936,Mortal Kombat: Deception,64,18,2004-10-04,10
1937,WWF WrestleMania: The Arcade Game,87,12,1996-01-25,
1938,Pro Evolution Soccer 2011,67,3,2010-10-20,
1939,Uta no Prince-sama,63,16,2010-06-24,
1940,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,62,0,2003-04-15,
1941,Doraemon: Nobita's Dinosaur 2006 DS,67,0,2006-03-02,
1942,Phoenix Wright: Ace Attorney,87,12,2014-04-17,
1943,Tao Feng: Fist of the Lotus,62,16,2003-03-18,
1944,KimiKiss,78,12,2006-05-25,
1945,Antarctic Adventure,63,0,2003-05-06,
1946,Ico,87,7,2001-09-25,
1947,Delta Force: Black Hawk Down,81,16,2003-03-24,
1948,El Shaddai: Ascension of the Metatron,74,12,2011-04-28,
1949,Tom Clancy's Rainbow Six: Vegas,73,16,2006-11-22,
1950,Half-Life 2: Deathmatch,66,18,2004-11-30,
1951,Star Fox,69,3,1993-02-21,
1952,Fahrenheit,56,16,2005-09-16,
1953,Heroes & Generals,56,18,2016-09-23,
1954,MX vs. ATV Unleashed,63,12,2005-03-16,
1955,Yoshi's Cookie,59,3,1992-01-01,
1956,Race – The Official WTCC Game,93,3,2006-11-24,
1957,Hotel Dusk: Room 215,83,12,2007-01-22,
1958,Pokémon Ranger,72,7,2006-03-23,
1959,Nox,86,16,2020-02-25,
1960,Homeworld 2,56,12,2003-09-16,
1961,Modern Combat 3: Fallen Nation,63,18,2011-10-27,
1962,The Movies,97,12,2005-11-08,10
1963,Metal Slug 3,79,12,2000-03-23,
1964,Limbo,83,16,2018-06-28,
1965,WWE '13,83,16,2012-10-30,
1966,Enclave,62,16,2002-07-19,
1967,PaRappa the Rapper,81,3,1996-12-06,
1968,InkBall,80,0,2004-08-01,
1969,Need for Speed: Porsche Unleashed,85,3,2000-02-29,
1970,Enemy: Tempest of Violence,70,18,1997-01-01,
1971,Lego Harry Potter: Years 5–7,74,7,2011-11-11,
1972,Garou: Mark of the Wolves,80,12,1999-11-26,
1973,Otometeki Koi Kakumei Love Revo!!,88,12,2006-01-26,
1974,PlanetSide,85,16,2003-05-20,
1975,Star Fox Command,62,7,2006-08-03,
1976,Death Rally,63,12,1996-12-31,
1977,Pax Imperia: Eminent Domain,82,12,1997-10-31,
1978,BiteFight,81,7,2006-02-01,
1979,FreeSpace 2,64,12,1999-09-30,
1980,FlatOut 2,87,12,2006-06-30,
1981,IHF Handball Challenge 12,91,3,2011-10-28,
1982,Way of the Samurai,77,16,2002-02-07,
1983,The Legend of Zelda: A Link to the Past and Four Swords,86,3,2002-12-02,
1984,Red Steel,70,16,2006-11-19,
1985,Inazuma Eleven 2,68,12,2012-03-16,
1986,Kirby's Epic Yarn,76,3,2010-10-14,
1987,Kirby 64: The Crystal Shards,70,3,2000-03-24,
1988,Cooking Mama,72,0,2006-03-23,
1989,WarioWare: Twisted!,74,0,2005-05-19,
1990,Gran Turismo Concept,91,3,2002-01-01,
1991,Kirby's Return to Dream Land,64,7,2011-10-24,
1992,System Shock 2,83,16,2014-04-01,4
1993,Samurai Warriors,55,12,2004-02-11,
1994,Star Fox 64 3D,60,7,2013-03-15,
1995,Watch Dogs,72,18,2014-05-27,
1996,Sherlock Holmes: The Mystery of the Mummy,60,3,2002-01-01,
1997,Europe Racer,76,7,2001-01-01,
1998,EverQuest II,60,12,2004-11-04,
1999,PowerSlave,76,18,1996-10-31,
2000,Dungeons & Dragons: Dragonshard,89,12,2005-09-21,
2001,Extreme-G,85,3,1997-09-30,
2002,Layton Brothers: Mystery Room,59,3,2012-09-21,
2003,Fatal Racing,77,7,1996-01-31,
2004,Theme Park World,55,3,1999-11-20,
2005,Tom Clancy's Ghost Recon 2: Summit Strike,80,16,2005-08-03,
2006,Mobile Suit Gundam Side Story: The Blue Destiny,84,12,1996-09-20,
2007,Tenchu: Wrath of Heaven,83,16,2003-03-03,
2008,Desperados 2: Cooper's Revenge,63,12,2006-04-28,
2009,Perfect Dark,80,16,2000-05-22,
2010,Hollywood Monsters,73,3,1997-01-01,
2011,Albion,70,12,1996-08-31,
2012,Fighting Force,70,18,1997-10-31,
2013,Stronghold 2,67,12,2005-04-18,
2014,Medieval: Total War,47,12,2002-08-20,
2015,Final Fantasy XIII-2,71,16,2014-12-11,7
2016,Gunman Chronicles,66,16,2000-11-20,
2017,Magicka,76,16,2011-01-25,
2018,The World Ends with You,83,12,2012-08-27,
2019,Rayman 3: Hoodlum Havoc,81,3,2003-02-21,
2020,Spartan: Total Warrior,78,18,2005-10-07,
2021,Soul Edge,65,16,1996-05-16,
2022,Vanquish,80,18,2017-05-25,
2023,Warsow,42,18,2005-07-08,
2024,Jurassic Park: Operation Genesis,53,12,2003-03-10,32
2025,GTR – FIA GT Racing Game,61,0,2012-09-25,
2026,Hexen: Beyond Heretic,76,18,1997-04-30,
2027,Soldier of Fortune,80,18,2000-03-28,
2028,Sid Meier's SimGolf,81,0,2002-01-23,
2029,The Moment of Silence,82,7,2004-10-01,
2030,Metropolis Street Racer,97,0,2000-11-03,
2031,Interstate '76,57,16,1997-03-28,
2032,Starship Troopers,61,16,2005-10-27,
2033,Daytona USA 2,60,0,1998-01-01,
2034,Fly!,73,0,1999-01-01,
2035,Forge of Empires,78,16,2012-04-17,1
2036,Formula One 05,81,3,2005-09-22,
2037,Forza Motorsport,65,3,2005-05-03,
2038,JFK Reloaded,77,16,2004-11-22,
2039,Famicom Wars,64,0,2019-12-12,
2040,Giftpia,61,12,2003-04-25,
2041,Rod Land,58,3,2021-01-07,
2042,Urban Chaos,89,16,1999-11-30,
2043,The Lord of the Rings: War in the North,72,18,2011-11-01,
2044,Tom Clancy's Rainbow Six 3: Raven Shield,91,16,2003-03-18,
2045,Tom Clancy's Rainbow Six: Lockdown,53,16,2005-09-08,
2046,Descent II,60,12,1996-02-29,
2047,Cardinal Syn,78,18,1998-06-30,
2048,Custom Robo Arena,63,7,2006-10-19,
2049,Dragon Ball Z: Hyper Dimension,76,18,1997-02-01,
2050,Chaos League,62,16,2004-08-08,
2051,Rayman Activity Centre,88,3,2000-01-01,
2052,Flying Shark,82,18,2023-08-24,
2053,Nicktoons Racing,95,0,2000-01-01,
2054,Neo Contra,69,12,2004-10-19,
2055,Odama,77,7,2006-03-31,
2056,Grandia II,73,7,2000-08-03,
2057,Tony Hawk's Pro Skater 3,54,12,2001-10-28,10
2058,Test Drive Le Mans,51,7,2001-06-22,
2059,Dino Crisis 2,76,16,2000-09-13,
2060,Warhammer: Mark of Chaos,63,16,2006-11-14,
2061,Hogs of War,63,12,2000-06-08,
2062,Final Fantasy Crystal Chronicles,82,7,2003-08-08,
2063,Blue Dragon,75,12,2006-12-07,
2064,Kerbal Space Program,83,3,2015-04-27,
2065,Birth of the Federation,71,0,1999-04-30,
2066,Super Mario Strikers,62,3,2005-11-18,
2067,Jade Cocoon: Story of the Tamamayu,66,12,1998-12-03,
2068,Lock On: Modern Air Combat,67,7,2003-11-20,
2069,Quest 64,74,3,1998-06-01,
2070,G-Police,73,3,1997-09-30,
2071,Gun,80,18,2005-11-05,
2072,Shock Troopers,91,12,1997-01-01,
2073,Galactic Civilizations,88,7,2003-03-26,
2074,Unreal Tournament 2003,62,18,2002-10-01,
2075,Race 07,44,3,2011-03-18,
2076,New Super Mario Bros. U,75,3,2012-11-18,
2077,Haunting Ground,66,16,2005-04-21,
2078,Tony Hawk's Pro Skater 4,75,12,2002-10-23,10
2079,Risen,76,16,2023-01-24,59
2080,Total Overdose,77,18,2005-09-16,10
2081,Nanostray,61,3,2005-07-19,
2082,Rule of Rose,83,16,2006-01-19,
2083,Nagano Winter Olympics '98,58,3,1997-12-18,
2084,Army Men Advance,67,12,2001-06-11,
2085,Pokémon Mystery Dungeon: Gates to Infinity,88,0,2012-11-23,
2086,Indiana Jones and the Infernal Machine,61,16,1999-11-23,16
2087,Dynasty Warriors Next,68,12,2011-12-17,
2088,Knights of the Temple: Infernal Crusade,68,16,2004-03-19,
2089,Vagrant Story,89,12,2000-02-10,
2090,Mercenaries: Playground of Destruction,77,16,2005-01-11,
2091,Tony Hawk's Pro Skater 2,87,7,2000-09-20,
2092,Golden Sun,81,7,2001-08-01,
2093,Ground Control,76,12,2000-06-01,
2094,ObsCure,77,16,2005-04-06,10
2095,Blocks That Matter,57,3,2011-08-19,
2096,Creatures 2,72,7,1998-09-30,
2097,Closure,58,3,2012-03-27,
2098,The Adventures of Lomax,73,3,1996-10-31,
2099,Ben 10: Omniverse,73,12,2012-11-13,12
2100,International Track & Field 2000,63,0,1999-10-31,
2101,Scribblenauts Unlimited,72,3,2018-09-18,
2102,Oni,70,16,2001-01-26,
2103,Miner Wars 2081,69,18,2012-11-28,
2104,Resident Evil: Dead Aim,53,16,2003-02-13,
2105,Jikkyō Keiba Simulation: Stable Star,85,7,1996-03-22,
2106,Dear Esther,69,12,2012-02-14,
2107,Sly 2: Band of Thieves,78,3,2014-05-27,
2108,Edna & Harvey: Harvey's New Eyes,66,12,2012-10-01,
2109,Formula One 04,97,0,2004-09-22,
2110,War of the Monsters,68,12,2003-01-14,
2111,Street Fighter EX3,79,12,2000-03-04,10
2112,Yakuza,86,18,2005-12-08,
2113,Hidden & Dangerous 2,72,16,2003-10-21,
2114,Wars and Warriors: Joan of Arc,74,12,2004-02-07,
2115,Red Faction II,69,18,2002-10-15,
2116,Professor Layton and the Miracle Mask,87,7,2012-10-26,
2117,Schizm: Mysterious Journey,71,0,2001-10-11,
2118,The Cursed Crusade,54,18,2011-10-07,
2119,Allegiance,75,12,2000-03-16,
2120,Spiral Knights,58,12,2011-04-04,
2121,NHL Eastside Hockey Manager,78,3,2004-07-02,
2122,San Francisco Rush 2049,73,0,2000-09-06,
2123,San Francisco Rush: Extreme Racing,71,7,1997-11-08,
2124,Demolition Racer,74,12,1999-08-31,
2125,Wasteland 2,77,16,2015-10-13,
2126,Forsaken,69,16,1998-04-30,
2127,Rush 2: Extreme Racing USA,93,0,1998-11-10,
2128,Wario Land: Super Mario Land 3,64,3,1994-01-21,
2129,Lords of the Realm II,67,12,1996-10-31,
2130,Wario Land II,65,3,1998-03-02,
2131,Wing Commander III: Heart of the Tiger,76,12,1996-03-28,
2132,Wing Commander IV: The Price of Freedom,69,12,1996-02-12,
2133,Toonstruck,63,7,1996-11-30,
2134,Disgaea: Hour of Darkness,70,12,2003-01-30,
2135,Future Cop: LAPD,48,16,1998-08-31,
2136,MechCommander,71,12,1998-06-24,
2137,Bubble Memories,76,3,1996-01-01,
2138,Omega Boost,72,3,1999-04-22,
2139,Bugs Bunny in Double Trouble,80,3,1996-01-01,
2140,Carrier Command: Gaea Mission,54,16,2012-09-28,
2141,Ikaruga,81,7,2001-12-20,
2142,Indiana Jones and the Emperor's Tomb,77,12,2003-02-24,
2143,Raid over Moscow,64,16,2020-01-01,
2144,Jet Force Gemini,79,12,1999-10-11,
2145,Joint Operations: Typhoon Rising,65,16,2004-06-15,
2146,Uplink,66,0,2001-10-01,
2147,Pokémon Snap,72,3,1999-03-21,
2148,Yakuza 5,86,18,2012-12-06,
2149,The Witness,80,3,2016-01-26,
2150,To the Moon,86,12,2024-10-08,31
2151,Jumpgate: The Reconstruction Initiative,63,12,2001-09-23,
